STATION,STATION LONG NAME,UNIT NAME,SEASONAL MAX MW (HSL),AVAILABLE MW AFTER OUTAGE/DERATE,MW REDUCTION FROM OUTAGE/DERATE,FUEL TYPE,START,END,RESOURCE ENTITY,COUNTY
QALSW,QUAIL SWITCH,GT2,86,0,86,NG,2/16/21 11:30 PM,2/17/21 11:02 PM,QUAIL RUN ENERGY PARTNERS LP (RE),ECTOR
QALSW,QUAIL SWITCH,GT3,81,0,81,NG,2/16/21 11:30 PM,2/18/21 6:32 PM,QUAIL RUN ENERGY PARTNERS LP (RE),ECTOR
QALSW,QUAIL SWITCH,STG1,98,0,98,NG,2/16/21 11:30 PM,2/17/21 11:22 AM,QUAIL RUN ENERGY PARTNERS LP (RE),ECTOR
QALSW,QUAIL SWITCH,STG2,98,0,98,NG,2/16/21 11:30 PM,2/17/21 4:47 PM,QUAIL RUN ENERGY PARTNERS LP (RE),ECTOR
BRAUNIG,BRAUNIG,VHB6CT7,48,39,9,NG,2/16/21 11:36 PM,2/19/21 5:45 PM,CPS ENERGY (RE),BEXAR
BRAUNIG,BRAUNIG,AVR1_CT1,169,0,169,NG,2/16/21 11:59 PM,2/18/21 11:51 PM,CPS ENERGY (RE),BEXAR
,,,,,,,2/16/21 11:59 PM,2/17/21 1:59 AM,,
SWEETWN4,SWEETWATER WIND 4,WND4A,125,0,125,WIND,2/16/21 11:59 PM,2/19/21 5:55 PM,SWEETWATER WIND 4 LLC (RE),NOLAN
AMOCOOIL,AMOCO OIL COGEN,AMOCO_1,80,0,80,NG,2/17/21 12:00 AM,2/21/21 12:00 PM,SOUTH HOUSTON GREEN POWER LLC (RE),GALVESTON
AMOCOOIL,AMOCO OIL COGEN,AMOCO_2,80,0,80,NG,2/17/21 12:00 AM,2/21/21 12:00 PM,SOUTH HOUSTON GREEN POWER LLC (RE),GALVESTON
