STATION,STATION LONG NAME,UNIT NAME,SEASONAL MAX MW (HSL),AVAILABLE MW AFTER OUTAGE/DERATE,MW REDUCTION FROM OUTAGE/DERATE,FUEL TYPE,START,END,RESOURCE ENTITY,COUNTY
INDL,INADALE,INADALE2,102,25,77,WIND,2/16/21 3:45 PM,2/18/21 10:00 AM,INADALE WIND FARM LLC (RE),NOLAN
QALSW,QUAIL SWITCH,GT1,84,0,84,NG,2/16/21 3:47 PM,2/16/21 11:30 PM,QUAIL RUN ENERGY PARTNERS LP (RE),ECTOR
PYR,PYRON WIND FARM,PYRON1,122,10,112,WIND,2/16/21 3:50 PM,2/18/21 3:20 PM,PYRON WIND FARM LLC (RE),SCURRY
PYR,PYRON WIND FARM,PYRON2,128,10,118,WIND,2/16/21 3:50 PM,2/18/21 3:20 PM,PYRON WIND FARM LLC (RE),SCURRY
CRANELL,CRANELL WIND,UNIT1,220,11,209,WIND,2/16/21 4:00 PM,2/16/21 4:30 PM,CRANELL WIND FARM LLC (RE),REFUGIO
REDFISH,MAGIC VALLEY I,MV1A,100,94,6,WIND,2/16/21 4:00 PM,2/16/21 6:16 PM,MAGIC VALLEY WIND FARM I LLC (RE),WILLACY
HHOLLOW4,HORSE HOLLOW 4,WND1,115,5,110,WIND,2/16/21 4:05 PM,2/20/21 12:24 AM,HORSE HOLLOW WIND IV LLC (RE),TAYLOR
BAFFIN,BAFFIN WIND PROJECT,UNIT1,100,38,62,WIND,2/16/21 4:10 PM,2/17/21 4:55 AM,AVANGRID TEXAS RENEWABLES LLC (RE),KENEDY
BAFFIN,BAFFIN WIND PROJECT,UNIT2,102,48,54,WIND,2/16/21 4:10 PM,2/17/21 4:05 AM,AVANGRID TEXAS RENEWABLES LLC (RE),KENEDY
CHAMPION,CHAMPION WIND FARM,UNIT1,127,10,117,WIND,2/16/21 4:11 PM,2/18/21 3:20 PM,CHAMPION WIND FARM LLC (RE),NOLAN
BRAUNIG,BRAUNIG,VHB2,230,0,230,NG,2/16/21 4:23 PM,2/16/21 6:00 PM,CPS ENERGY (RE),BEXAR
EL_RAYO,EL RAYO WIND FARM,UNIT1,101,44,57,WIND,2/16/21 4:23 PM,2/17/21 1:17 AM,RAYMOND WIND FARM LLC (RE),WILLACY
EL_RAYO,EL RAYO WIND FARM,UNIT2,99,43,56,WIND,2/16/21 4:23 PM,2/17/21 1:17 AM,RAYMOND WIND FARM LLC (RE),WILLACY
,,,,,,,2/16/21 4:23 PM,2/18/21 4:23 PM,,
,,,,,,,2/16/21 4:23 PM,2/18/21 4:23 PM,,
DEC,Denton Energy Center,AGR_A,56,0,56,NG,2/16/21 4:26 PM,2/17/21 2:10 PM,DENTON MUNICIPAL ELECTRIC DEC (RE),DENTON
DEC,Denton Energy Center,AGR_B,56,0,56,NG,2/16/21 4:28 PM,2/17/21 2:11 PM,DENTON MUNICIPAL ELECTRIC DEC (RE),DENTON
DEC,Denton Energy Center,AGR_C,56,0,56,NG,2/16/21 4:30 PM,2/17/21 3:22 PM,DENTON MUNICIPAL ELECTRIC DEC (RE),DENTON
